Datum,Niet geïndexeerd,Geïndexeerd,Vertoningen
2026-06-02,,,11
2026-06-03,,,11
2026-06-04,,,13
2026-06-05,27,11,12
2026-06-06,25,13,17
2026-06-07,25,13,12
2026-06-08,25,13,10
2026-06-09,25,13,15
2026-06-10,25,13,15
2026-06-11,25,13,20
2026-06-12,25,13,15
